DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2013-Q1,714842,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2013-Q2,713960,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2013-Q3,715762,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2013-Q4,715472,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2014-Q1,717950,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2014-Q2,716320,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2014-Q3,717940,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2014-Q4,716760,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2015-Q1,719294,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2015-Q2,717359,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,A15: 15-19,AUS: Australia,Q: Quarterly,2015-Q3,719196,PSNS: Persons,,
